Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
50words,206963.12,0.281,100,47.9121,450,455,270,0.25,0.67
Adiac,30048.89,0.053,100,43.9898,390,391,176,0.25,0.67
ArrowHead,1266.2,0.039,100,57.7143,36,175,251,0.25,0.67
Beef,13159.98,0.039,100,56.6667,30,30,470,0.25,0.67
BeetleFly,354.95,0.007,100,65,20,20,512,0.25,0.67
BirdChicken,2800.95,0.004,100,70,20,20,512,0.25,0.67
Car,93741.57,0.043,100,76.6667,60,60,577,0.25,0.67
CBF,7.71,0.022,100,92.7778,30,900,128,0.25,0.67
Coffee,79.79,0.003,100,82.1429,28,28,286,0.25,0.67
DiatomSizeReduction,130.82,0.033,100,71.2418,16,306,345,0.25,0.67
DistalPhalanxOutlineAgeGroup,44571.71,0.017,100,72,139,400,80,0.25,0.67
DistalPhalanxOutlineCorrect,323947.27,0.024,99.6377,72.8333,276,600,80,0.25,0.67
DistalPhalanxTW,16770.2,0.018,100,71,139,400,80,0.25,0.67
ECG200,2110.21,0.002,100,80,100,100,96,0.25,0.67
ECGFiveDays,13.65,0.045,100,96.1672,23,861,136,0.25,0.67
FaceAll,131065.46,0.239,100,56.568,560,1690,131,0.25,0.67
FaceFour,375.75,0.052,100,79.5455,24,88,350,0.25,0.67
FacesUCR,1857.12,0.452,100,64,200,2050,131,0.25,0.67
Gun_Point,228.86,0.005,100,93.3333,50,150,150,0.25,0.67
Herring,110869.53,0.032,100,53.125,64,64,512,0.25,0.67
InsectWingbeatSound,52266.91,0.808,100,48.6364,220,1980,256,0.25,0.67
ItalyPowerDemand,2.59,0.014,100,94.8494,67,1029,24,0.25,0.67
Lighting2,151289.39,0.08,100,75.4098,60,61,637,0.25,0.67
Lighting7,9558.67,0.037,100,54.7945,70,73,319,0.25,0.67
MALLAT,77363.77,3.931,100,82.2601,55,2345,1024,0.25,0.67
Meat,1878.91,0.028,100,83.3333,60,60,448,0.25,0.67
MiddlePhalanxOutlineAgeGroup,48434.95,0.014,100,73.5,154,400,80,0.25,0.67
MiddlePhalanxOutlineCorrect,181188.57,0.023,100,73.8333,291,600,80,0.25,0.67
MiddlePhalanxTW,26233.94,0.027,100,54.1353,154,399,80,0.25,0.67
MoteStrain,6.78,0.093,100,79.5527,20,1252,84,0.25,0.67
OliveOil,1233.83,0.018,100,73.3333,30,30,570,0.25,0.67
Plane,191.51,0.009,100,93.3333,105,105,144,0.25,0.67
ProximalPhalanxTW,33524.09,0.017,99.5122,68.75,205,400,80,0.25,0.67
ShapeletSim,815.02,0.078,100,46.6667,20,180,500,0.25,0.67
SonyAIBORobotSurface,1.36,0.021,100,88.02,20,601,70,0.25,0.67
SonyAIBORobotSurfaceII,3.32,0.021,100,83.001,27,953,65,0.25,0.67
SwedishLeaf,83643.94,0.047,100,73.12,500,625,128,0.25,0.67
Symbols,600.56,0.8,100,76.1809,25,995,398,0.25,0.67
synthetic_control,1521.25,0.016,99.6667,88,300,300,60,0.25,0.67
ToeSegmentation1,648.39,0.03,100,88.5965,40,228,277,0.25,0.67
ToeSegmentation2,274.66,0.027,100,86.9231,36,130,343,0.25,0.67
Trace,588.28,0.02,100,97,100,100,275,0.25,0.67
TwoLeadECG,1.93,0.018,100,88.4987,23,1139,82,0.25,0.67
Wine,3921.65,0.003,100,74.0741,57,54,234,0.25,0.67
